yourlist:M20210221A94466D2655679D1FD8953E075198DA8046206A	Entry
5243	P08183
5243	A4D1D2
2914	Q14833
2914	A1L4F9
2914	A8K0J8
2914	B7ZLU9
2916	O15303
2917	Q14831
2917	B2R693
2917	B9EGG9
2917	Q59G95
2918	O00222
11283	P98187
4051	Q08477
4051	A0A024R7I2
4051	A0A024R7J8
8529	P78329
57834	Q9HBI6
66002	Q9HCS2
3857	P35527
3861	P02533
3872	Q04695
3872	Q14666
3868	P08779
1573	P51589
23541	O76054
23541	A0A024R1I5
23541	B7Z3Z8
266629	Q9UDX4
266629	Q495V9
266629	Q6XCI7
284904	Q9UDX3
284904	B2RMR2
284904	B3KRP9
284904	Q6ICM2
730005	B5MCN3
127074	Q8NH00
343563	Q8NH02
401993	Q6IEZ7
127069	Q8NGZ9
127069	A0A126GV79
102723532	A0A0G2JNH3
102723532,283694	Q8N0Y3
283694	A0A126GVN2
390429	Q8NGD1
390429	A0A126GVT2
390437	Q8IXE1
390437	A0A126GVN4
728255	P0C5Y4
81850	Q8IUG1
83895	Q9BYS1
81851	Q07627
101059918	I6L899
643699	F8WBI6
728047	A6NCC3
653073	A6NMD2
728498	P0CJ92
653720	H3BSY2
647042	A6NI86
647042	A0A0M3HER8
643707	A6NEF3
440295	A6NEM1
342096	Q9NYA3
342096	A2VDJ1
55889	A6NDN3
653641	A6NDK9
653643	P0CG33
23015	A7E2F4
440270	A8MQT2
10076	Q92729
5796	Q15262
5796	B4DHC3
5796	Q59EZ1
5796	Q5TG12
5796	Q86WJ2
11122	O14522
11122	A0A075B6H0
5797	P28827
3340	P52848
3340	A8K8T3
3340	B7Z1Q0
3340	E7EVJ3
8509	P52849
8509	B4DU70
8509	B4E139
8509	S4R438
64579	Q9H3R1
64579	A8K0V5
9348	O95803
10938	Q9H4M9
10938	A0A024R571
10938	B2R5U3
30845	Q9NZN3
30844	Q9H223
30844	A0A024R9N6
30844	A8K9B9
30846	Q9NZN4
30846	A0A024R0S6
119678	Q8NGJ4
79296	Q8NGJ3
392309	Q8NGT2
140032	Q8TD47
6192	P22090
6191	P62701
6191	B2R491
100287144	C9JJH3
100287178	C9JVI0
100287364	D6R9N7
100287404	D6RCP7
100287205	C9JPN9
100287478	D6R901
100287513	D6RA61
100287441	D6RJB6
100287238	C9JLJ4
100287327	D6RBQ6
728386	A8MUK1
728369,728373,728393,728400,728405,728379,728419	Q0WX57
377630	Q6R6M4
401447	Q7RTZ2
645836	A6NCW0
392188	P0C7I0
645402	A6NCW7
392197	P0C7H9
10178	Q9UKZ4
10178	B7ZMH4
26011	Q6N022
55714	Q9P273
55714	A0A140VJW8
57451	Q9NT68
57451	F8VNQ3
57451	G3V106
775	Q13936
775	A0A0A0MR67
775	A0A0A0MSA1
775	F5H522
775	Q59GU3
775	Q5V9X9
779	Q13698
779	B1ALM3
776	Q01668
776	A0A1B0GUN6
776	Q59GD8
778	O60840
4627	P35579
4627	A0A024R1N1
4629	P35749
4629	A0A024QZJ4
4629	A0A024QZJ6
4628	P35580
4628	G1UI33
79784	Q7Z406
79784	A1L2Z2
79784	B3KWH4
5362	O75051
91584	Q9HCM2
91584	A0A024R7A6
55558	P51805
5361	Q9UIW2
10723	Q9Y666
57468	Q9H2X9
6560	Q9UP95
6560	B4DF30
9990	Q9UHW9
9990	A0A024R9I5
9990	A0A024R9K8
9990	Q6NSI7
2890	P42261
2890	Q59GL5
2891	P42262
2892	P42263
2892	Q17R51
2892	Q5XKG2
2893	P48058
2893	Q1WWK6
81	O43707
81	A0A0S2Z3G9
87	P12814
87	A0A024R694
88	P35609
88	F6THM6
88	Q59FD9
